road,modal_class,segments,length_m,mean_lanes,mean_speed_mph,oneway_share,transit_share,max_transit_routes,commercial_share,junction_share,unpaved_share,class_pts,lane_pts,speed_pts,oneway_pts,transit_pts,commercial_pts,junction_pts,surface_pts,score,category,min_segment_score,max_segment_score,score_std,dominant_category,category_consistency,classification_margin,margin_label,lanes_imputed_share,speed_imputed_share,data_completeness
Druitt Street,secondary,5,277,2.2,20,0.34,1.0,22,1.0,0.41,0.0,22.0,4.87,0.0,0.68,7.0,5.0,1.22,0.0,40.8,High,38.0,45.0,2.8,High,0.6,2.8,moderate,0.44,0.0,0.78
Eastern Distributor Offramp,motorway_link,2,811,1.0,35,1.0,0.0,0,1.0,0.0,0.0,32.0,0.0,4.0,0.0,0.0,4.77,0.0,0.0,40.8,High,40.0,41.0,0.5,High,1.0,2.8,moderate,0.0,1.0,0.5
Goulburn Street,secondary,23,1145,3.8,28,0.38,0.29,16,1.0,0.68,0.0,18.97,11.1,1.21,0.76,1.73,5.0,2.03,0.0,40.8,High,26.4,57.4,9.4,High,0.78,2.8,moderate,0.2,0.0,0.9
Balmain Road,secondary,35,2931,2.1,31,0.26,0.79,4,1.0,0.41,0.0,23.89,4.21,2.37,0.51,3.81,4.7,1.24,0.0,40.7,High,31.4,53.4,6.4,High,0.71,2.7,moderate,0.0,0.14,0.93
Miller Street,secondary,28,1978,3.0,27,0.27,0.9,33,1.0,0.67,0.0,17.93,8.2,0.85,0.44,5.89,5.0,2.02,0.0,40.3,High,10.0,55.4,15.6,High,0.54,2.3,moderate,0.15,0.07,0.89
Anzac Parade Offramp,motorway_link,2,531,1.0,37,1.0,0.0,0,1.0,0.0,0.0,32.0,0.0,4.91,0.0,0.0,3.27,0.0,0.0,40.2,High,38.9,40.9,1.0,High,1.0,2.2,moderate,0.0,0.0,1.0
Todman Avenue,secondary,34,1617,2.2,32,0.65,0.97,6,0.66,0.13,0.0,22.3,4.67,2.65,1.23,5.56,3.07,0.4,0.0,39.9,High,31.4,51.4,5.3,High,0.59,1.9,borderline,0.02,0.0,0.99
Clarence Street,tertiary,22,1120,3.8,25,1.0,0.94,44,1.0,0.47,0.0,13.67,11.16,0.04,1.89,6.61,5.0,1.41,0.0,39.8,High,17.0,43.0,5.5,High,0.73,1.8,borderline,0.0,0.0,1.0
Addison Road,secondary,7,1258,2.0,31,0.0,1.0,2,1.0,0.69,0.0,22.0,4.0,2.43,0.0,4.96,4.23,2.06,0.0,39.7,High,35.4,41.4,2.5,Moderate,0.57,1.7,borderline,0.0,0.0,1.0
Bridge Road,primary,44,2279,2.5,25,0.12,0.11,2,1.0,0.13,0.0,26.87,6.14,0.03,0.23,0.53,5.0,0.38,0.0,39.2,High,31.0,49.0,5.5,Moderate,0.7,1.2,borderline,0.11,0.02,0.94
Arden Street,secondary,5,730,2.0,31,0.0,1.0,4,1.0,0.04,0.0,22.0,4.15,2.43,0.0,7.0,3.48,0.11,0.0,39.2,High,37.4,47.4,3.3,High,0.8,1.2,borderline,0.0,0.0,1.0
Harris Street,primary,27,2739,3.2,28,0.07,0.81,4,0.94,0.58,0.0,18.02,8.81,1.04,0.15,4.36,4.72,1.74,0.0,38.8,High,5.0,61.0,21.0,High,0.59,0.8,borderline,0.17,0.34,0.74
Chalmers Street,secondary,23,1128,3.1,29,0.71,0.71,5,0.87,0.32,0.0,17.15,8.29,1.59,1.43,5.0,4.36,0.97,0.0,38.8,High,5.0,53.4,13.9,High,0.87,0.8,borderline,0.13,0.0,0.94
Berry Street,primary,6,588,2.7,26,0.69,0.25,10,1.0,0.63,0.0,20.96,6.94,0.29,1.39,1.76,5.0,1.9,0.0,38.2,High,10.0,53.0,15.0,High,0.83,0.2,borderline,0.31,0.0,0.84
