road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Hopwood Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Bagshot Street,residential,4,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Alsace Road,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Madron Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Meadcroft Road,residential,3,1.0,31,0.0,0.0,1.0,0.0,0.0,1.0,0.67,10.0,Low,low
Kennington Park Gardens,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Pelier Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Langdale Close,residential,7,1.0,31,0.0,0.0,1.0,0.0,0.0,1.0,0.29,10.0,Low,low
Hillingdon Street,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Copley Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Pasley Close,residential,3,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Penton Place,residential,3,1.0,31,0.33,0.0,1.0,0.0,0.0,1.0,0.67,10.0,Low,low
Borrett Close,residential,5,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Iliffe Yard,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Tarver Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Stopford Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Harmsworth Street,residential,2,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Gaza Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
De Laune Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
St Paul's Terrace,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Frederick Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
John Maurice Close,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Hans Crescent,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Torrey Drive,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Alaska Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Brad Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Stanhope Mews East,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Priory Court,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,Low,high
All Saints Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Priory Grove,residential,4,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Kelman Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
McCall Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Clitheroe Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Eastcote Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Chesterfield Gardens,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Charles Street,residential,6,1.0,32,0.83,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Gilbert Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Ridgewell Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Dolphin Square West,residential,3,1.0,32,0.67,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Churton Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Balniel Gate,residential,3,1.0,16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Knowle Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Moat Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Wynne Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Perkins Square,residential,1,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Kember Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Conistone Way,residential,8,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.12,10.0,Low,low
Bunning Way,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Johnson's Place,residential,4,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Ranelagh Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Crescent Place,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Rutland Mews South,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Naseby Close,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Marston Close,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Townshend Road,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
St Martin's Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Orient Street,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Hedger Street,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Centurion Close,residential,1,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Augustus Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Morocco Street,residential,5,1.0,32,0.8,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Radcliffe Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Long Walk,residential,2,1.0,32,0.5,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Lansdowne Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Rephidim Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Baxter Road,residential,4,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Acacia Gardens,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Newcourt Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Wells Rise,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Titchfield Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Colworth Grove,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Ethel Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Melford Court,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Grange Walk Mews,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Grigg's Place,residential,1,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Harold Estate,residential,1,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Bushbaby Close,residential,1,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Alscot Way,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
White Hart Yard,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Plantain Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Pardoner Street,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Rheidol Terrace,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Bishop Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Basire Street,residential,4,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Windsor Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Britannia Row,residential,2,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Tyssen Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
St. Augustine's Road,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Dibden Street,residential,2,1.0,32,0.5,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Halton Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Pickering Street,residential,1,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Bowling Green Street,residential,2,1.0,32,0.5,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Queen's Gate Place,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Shepherd Market,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Brunswick Park,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Conduit Mews,residential,6,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Park Village East,residential,2,1.0,32,0.5,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Chester Terrace,residential,2,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Greenberry Street,residential,6,1.0,32,0.5,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Culworth Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Charles Lane,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Cochrane Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Bridgeman Street,residential,1,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Shannon Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
St Edmund's Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Redhill Street,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Edward Mews,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Richmond House,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Munster Square,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Clarence Gardens,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Miller Street,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Chester Close South,residential,3,1.0,32,0.33,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Warren Mews,residential,3,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Neville Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Coopers Lane,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Hampden Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Bridgeway Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Palgrave Gardens,residential,6,1.0,16,0.17,0.0,1.0,0.0,0.0,1.0,0.17,10.0,Low,low
Cornelia Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Faraday Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Offord Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,Low,high
Tresham Crescent,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Luton Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Phipps Mews,residential,1,1.0,30,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,Low,medium
Red Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Berkeley Mews,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Bryanston Mews East,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Harding Close,residential,2,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Mallory Street,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Paveley Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Swain Street,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Grendon Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Jerome Crescent,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Bernhardt Crescent,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Gavel Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Minerva Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Perseverance Place,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Castlereagh Street,residential,1,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Nutford Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Shouldham Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Forset Street,residential,3,1.0,32,0.33,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Rodmarton Street,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Thornton Place,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Durweston Street,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Harcourt Street,residential,2,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Melior Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Corlett Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Burne Street,residential,1,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Ranston Street,residential,5,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Harrow Street,residential,2,1.0,31,0.0,0.0,1.0,0.0,0.0,1.0,0.5,10.0,Low,low
Highworth Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Dagmar Terrace,residential,5,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Rothery Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Moon Street,residential,2,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Studd Street,residential,2,1.0,32,0.5,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Halton Cross Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Fowler Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Pleasant Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Shillingford Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,Low,high
Sebbon Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Braes Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Sable Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Venetian Road,residential,1,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Newcastle Place,residential,1,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Elm Tree Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Aquila Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Tindal Street,residential,2,1.0,32,0.5,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Queensberry Mews West,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Ulster Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Regent's Park Terrace,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Claribel Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Inglis Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Crawford Road,residential,3,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Tachbrook Street,residential,2,1.0,32,0.5,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Acacia Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Queen's Terrace,residential,4,1.0,31,0.25,0.0,1.0,0.0,0.0,1.0,0.5,10.0,Low,low
Norfolk Road,residential,3,1.0,32,0.33,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Henstridge Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Regents Mews,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Langford Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Barbara Brosnan Court,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Edwards Mews,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Epping Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Court Gardens,residential,3,1.0,16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Digswell Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Gateforth Street,residential,1,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Salisbury Street,residential,3,1.0,32,0.67,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Whitehaven Street,residential,1,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Bledlow Close,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Richard's Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Lonsdale Place,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Samford Street,residential,2,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Magdalen Street,residential,4,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,0.75,10.0,Low,low
Cahill Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Dufferin Avenue,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Winchester Walk,residential,2,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Atlas Mews,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Vulcan Way,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Orleston Mews,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Brompton Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Pont Street Mews,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Saint Mary's Path,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Thornhill Grove,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Barnsbury Square,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Mina Road,residential,3,1.0,32,0.67,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Market Mews,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Cavendish Mews South,residential,4,1.0,32,0.0,0.0,1.0,0.0,0.0,0.75,0.0,10.0,Low,medium
Compton Place,residential,4,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
College Place,residential,9,1.0,32,0.78,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Frome Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Enfield Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Weymouth Mews,residential,10,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Old Royal Free Place,residential,5,1.0,32,0.6,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Southwood Smith Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Gainford Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Sheen Grove,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Boxworth Grove,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Old Royal Free Square,residential,2,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Water Tower Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Goodyear Place,residential,1,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Rust Square,residential,1,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Durfey Place,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Broome Way,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Jago Walk,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Notley Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Thornhill Square,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Pembroke Street,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Goodge Place,residential,3,1.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Fitzroy Mews,residential,2,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Rainbow Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Macfarland Grove,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Calypso Crescent,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Burcher Gale Grove,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Gandolfi Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Donato Drive,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Dragon Road,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Cronin Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Maygood Street,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Vernon Square,residential,1,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
Edward's Cottages,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Colebeck Mews,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
River Place,residential,1,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Alwyne Square,residential,2,1.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Chancel Street,residential,4,1.0,32,0.5,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
King James Street,residential,4,1.0,32,0.25,0.0,1.0,0.0,0.0,1.0,0.0,10.0,Low,medium
Swan Court,residential,5,1.0,30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,Low,low
